Player,Tm,Age,College,Pos,Rnd,Cmp,Att,Yds,TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tkl,Def_Int,Sk,target
Bubba Smith,BAL,22,Michigan St.,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Clint Jones,MIN,22,Michigan St.,RB,1,0,0,0,0,0,86,311.1428571,2.857142857,5.428571429,61.57142857,0,0,0,0,7
Steve Spurrier,SFO,22,Florida,QB,1,59.7,115.1,687.8,4,6,6.1,25.8,0.2,0,0,0,0,0,0,10
Bob Griese,MIA,22,Purdue,QB,1,137.5714286,244.9285714,1792.285714,13.71428571,12.28571429,18.64285714,71,0.5,0,0,0,0,0,0,14
George Webster,HOU,21,Michigan St.,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,10
Floyd Little,DEN,25,Syracuse,RB,1,0.222222222,1,4.777777778,0.111111111,0,182.3333333,702.5555556,4.777777778,23.88888889,268.6666667,1,0,0,0,9
Mel Farr,DET,22,UCLA,RB,1,0,0.428571429,0,0,0,105.5714286,438.8571429,3.714285714,20.85714286,196.2857143,1.428571429,0,0,0,7
Gene Washington,MIN,23,Michigan St.,WR,1,0,0,0,0,0,0,0,0,26,462.4285714,3.714285714,0,0,0,7
Bob Hyland,GNB,22,Boston Col.,C,1,0,0,0,0,0,0,0,0,0.090909091,1.454545455,0,0,0,0,11
Loyd Phillips,CHI,22,Arkansas,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,3
Cas Banaszek,SFO,21,Northwestern,T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Paul Seiler,NYJ,21,Notre Dame,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ray McDonald,WAS,23,Idaho,RB,1,0,0,0,0,0,26,111.5,2,5,30,0,0,0,0,2
Ron Billingsley,SDG,22,Wyoming,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Alan Page,MIN,22,Notre Dame,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,15
Dave Williams,STL,22,Washington,WR,1,0,0,0,0,0,0.857142857,9.857142857,0,26.14285714,395.4285714,3.571428571,0,0,0,7
Gene Upshaw,OAK,22,Texas A&M-Kingsville,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Bob Matheson,CLE,22,Duke,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0,13
Harry Jones,PHI,22,Arkansas,RB,1,0,0,0,0,0,11,21.25,0,2.25,32.75,0,0,0,0,4
John Charles,BOS,23,Purdue,DB,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8
John Pitts,BUF,22,Arizona St.,DB,1,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,0,9
Tom Regner,HOU,23,Notre Dame,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Gene Trosch,KAN,22,Miami (FL),DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Don Horn,GNB,22,San Diego St.,QB,1,29,58.125,421.125,2.5,4.5,2.25,0.375,0.125,0,0,0,0,0,0,8
Les Kelley,NOR,22,Alabama,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,3
Bo Burris,NOR,22,Houston,DB,2,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,3
Bob Grim,MIN,22,Oregon St.,WR,2,0,0.181818182,0,0,0,0.727272727,12.45454545,0,17.63636364,264.9090909,1.454545455,0,0,0,11
Jim Riley,MIA,22,Oklahoma,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Bob Davis,HOU,22,Virginia,QB,2,19.57142857,46.28571429,221.8571429,2,3.285714286,7.428571429,47.42857143,0.285714286,0,0,0,0,0,0,7
Leo Carroll,ATL,23,San Diego St.,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Tom Beer,DEN,22,Houston,TE,2,0,0,0,0,0,0,0,0,10.83333333,168.6666667,0.666666667,0,0,0,6
Willie Ellison,RAM,21,Texas Southern,RB,2,0,0.375,0,0,0,100.125,428.25,3,13,111,0.75,0,0,0,8
Lem Barney,DET,22,Jackson St.,DB,2,0,0,0,0,0,0.454545455,4.090909091,0,0,0,0,0,5.090909091,0,11
Don Shy,PIT,21,San Diego St.,RB,2,0.142857143,0.142857143,3.285714286,0.142857143,0,65.28571429,225.2857143,1.428571429,10.85714286,119.2857143,0.428571429,0,0,0,7
Bob Jones,CHI,22,San Diego St.,WR,2,0,0,0,0,0,0,0,0,1.5,40,0.5,0,0,0,2
Spain Musgrove,WAS,22,Utah St.,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Tom Holzer,SFO,22,Louisville,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ron McCall,SDG,23,Weber St.,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Dave Dunaway,GNB,22,Duke,WR,2,0,0,0,0,0,0.333333333,1.333333333,0,0.666666667,12.33333333,0,0,0,0,3
Jim LeMoine,BUF,22,Utah St.,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bob Rowe,STL,22,West. Michigan,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,9
Rick Volk,BAL,22,Michigan,DB,2,0,0,0,0,0,0,0,0,0,0,0,0,3.166666667,0,12
Larry Conjar,CLE,21,Notre Dame,RB,2,0,0,0,0,0,7.5,25.5,0,1.5,17,0,0,0,0,4
Jim Lynch,KAN,22,Notre Dame,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,1.545454545,0,11
Bob Howard,SDG,22,San Diego St.,DB,2,0,0,0,0,0,0,0,0,0,0,0,0,2.846153846,0,13
Roy Hopkins,HOU,22,Texas Southern,RB,2,0,0,0,0,0,58,206.5,1.75,12.5,132.25,0.25,0,0,0,4
Willie Lanier,KAN,22,Morgan St.,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,2.454545455,0,11
Jim Flanigan,GNB,22,Pittsburgh,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,5
John Gilliam,NOR,22,South Carolina St.,WR,2,0,0,0,0,0,3.181818182,26.63636364,0.181818182,34.72727273,641.4545455,4.363636364,0,0,0,11
Dave Rowe,NOR,22,Penn St.,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Norman Davis,BAL,22,Grambling St.,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Don Cockroft,CLE,22,Adams St.,K,3,0.214285714,0.285714286,1.928571429,0,0,0.142857143,0.642857143,0,0,0,0,0,0,0,14
Larry Carwell,HOU,23,Iowa St.,DB,3,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,0,6
Jimmy Jordan,ATL,23,Florida,RB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mike Current,DEN,22,Ohio St.,T,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
George Goeddeke,DEN,22,Notre Dame,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Paul Naumoff,DET,22,Tennessee,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,12
Earl Denny,MIN,22,Missouri,RB,3,0,0,0,0,0,1,4.5,0,0,0,0,0,0,0,2
Frank Nunley,SFO,21,Michigan,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,10
Garry Lyle,CHI,21,George Washington,DB,3,0,0,0,0,0,0.5,3.5,0,0.875,6,0,0,1.5,0,8
Bill Tucker,SFO,24,Tennessee St.,RB,3,0,0,0,0,0,25.4,86.2,1.2,11.8,99.2,1.4,0,0,0,5
Dennis Randall,NYJ,22,Oklahoma St.,DE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Harold Akin,SDG,22,Oklahoma St.,T,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Harry Wilson,PHI,23,Nebraska,RB,3,0,0,0,0,0,1,1.75,0,0.75,6.5,0,0,0,0,4
